notation,title,description,id
,(Web-)Artikel,,e7d
,Ansage/Durchsage,,z6e
,Anweisung,,r9r
,Blog/Blogeintrag,,u2x
,Blogroman,,b6p
,Bookstagram,,y2b
,Chat,,t6g
,Debatte,,f3h
,Digital Story,,h5c
,Diskussion,,t6t
,Dokumentation,,z4c
,E-Mail,,t3d
,Erklärvideo,,g6q
,Fanfiction,,q6d
,Führung/Besichtigung,,q5t
,Gespräch,,r4a
,Hörbuchauszug,,v2t
,Hörspielauszug,,x9u
,Hyperfiction,,r2u
,Instapoetry,,c4t
,Interaktion mit KI,,x2d
,Interview,,y6v
,Kommentar,,z5h
,Kurznachricht,,f7a
,Meme,,t7u
,Nachrichten,,x3a
,Newsfeed,,r3b
,Plakat,,q6r
,Podcast,,f9z
,Programm,,p4c
,Rede,,x5d
,Reportage,,c4s
,Rezension,,t9v
,Rezept,,q9h
,Schild,,g3a
,Sprachnachricht,,f2c
,Telefonat,,u2u
,Tweetpoetry,,u9q
,Twitterature,,h6b
,Werbung,,b9s
,Wetterbericht,,y9y
,Wiki,,d5e
